UF;Cultura;Area;Produtividade;Nivel  de Produtividade;Municipios Produtores
RR;Soja;118;3.137;Baixa;8
RO;Soja;673,40;3.558;Media;44
AC;Soja;18,20;3.325;Media;8
AM;Soja;17,7;2.985;Baixa;3
AP;Soja;8,5;2.580;Baixa;5
PA;Soja;1.181,20;3.303;Media;32
TO;Soja;1.482,90;3.454;Media;100
MA;Soja;1.420,10;3.332;Media;78
PI;Soja;1.147,90;3.452;Media;33
CE;Soja;3,9;3.679;Media;8
AL;Soja;6,9;3.075;Baixa;11
BA;Soja;2.135,60;3.950;Alta;23
MT;Soja;12.735,00;3.700;Alta;128
MS;Soja;4.253,40;3.180;Baixa;78
GO;Soja;4.954,70;3.797;Alta;224
DF;Soja;87,9;3.725;Alta;1
MG;Soja;2.323,70;3.799;Alta;290
SP;Soja;1.355,60;3.700;Alta;480
PR;Soja;5.874,80;3.707;Alta;390
SC;Soja;811,9;3.774;Alta;218
RS;Soja;6.839,30;2.698;Baixa;435
AM;Cana-de-acucar;3,8;91.382;Alta;18
PA;Cana-de-acucar;16,7;78.511;Media;33
TO;Cana-de-acucar;29;81.881;Alta;59
MA;Cana-de-acucar;29,3;73.287;Media;68
PI;Cana-de-acucar;20,2;55.382;Baixa;58
RN;Cana-de-acucar;79;51.784;Baixa;49
PB;Cana-de-acucar;127,3;58.803;Media;82
PE;Cana-de-acucar;234,6;58.770;Baixa;84
AL;Cana-de-acucar;295,1;60.268;Media;60
SE;Cana-de-acucar;44,1;46.453;Baixa;22
BA;Cana-de-acucar;67,9;86.895;Alta;199
MT;Cana-de-acucar;205,9;84.719;Alta;59
MS;Cana-de-acucar;674,4;73.071;Media;53
GO;Cana-de-acucar;969,7;81.031;Alta;99
MG;Cana-de-acucar;986,7;82.858;Alta;647
ES;Cana-de-acucar;48,2;55.548;Baixa;55
RJ;Cana-de-acucar;35;47.454;Baixa;33
SP;Cana-de-acucar;4.413,20;80.112;Media;512
PR;Cana-de-acucar;486,1;69.148;Media;280
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
